Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
P1,1118.7,0.0038,,1.0,0.7541
P1,1118.8,0.0096,,1.0,0.7046
P1,1119.5,0.0003,,1.0,0.8616
P1,1119.6,0.0001,,1.0,0.9384
P1,1119.7,0.0028,,1.0,0.7689
P1,1119.8,0.0003,,1.0,0.8603
P1,1119.9,0.0001,,1.0,0.9735
P1,1120.0,0.0006,,1.0,0.8326
P1,1120.2,0.005,,1.0,0.74
P1,1120.3,0.0011,,1.0,0.8099
P1,1120.4,0.0007,,1.0,0.8269
P1,1120.5,0.0038,,1.0,0.7532
P1,1122.2,0.0014,,1.0,0.8002
P1,1122.3,0.0001,,1.0,1.0
P1,1122.4,0.0001,,1.0,0.8877
P1,1123.8,0.0079,,1.0,0.7153
P1,1123.9,0.0001,,1.0,0.9039
P1,1124.0,0.0004,,1.0,0.8486
P1,1124.1,0.0065,,1.0,0.7259
P1,1125.9,0.0019,,1.0,0.7867
P1,1126.0,0.0001,,1.0,1.0
P1,1126.1,0.0001,,1.0,0.9752
P1,1128.6,0.0028,,1.0,0.7688
P1,1128.7,0.0008,,1.0,0.8258
P1,1128.8,0.0001,,1.0,0.9258
P1,1128.9,0.0001,,1.0,0.9374
P1,1129.0,0.0002,,1.0,0.8778
P1,1130.0,0.0008,,1.0,0.8251
P1,1130.1,0.0003,,1.0,0.8571
P1,1130.3,0.0086,,1.0,0.7104
P1,1131.3,0.0004,,1.0,0.8486
P1,1136.3,0.0008,,1.0,0.8223
P1,1136.5,0.0068,,1.0,0.7234
P1,1136.6,0.0001,,1.0,0.9201
P1,1136.7,0.0001,,1.0,0.9162
P1,1136.8,0.0054,,1.0,0.7354
P1,1136.9,0.0033,,1.0,0.7608
P1,1137.1,0.009000000000000001,,1.0,0.7079
P1,1137.2,0.0001,,1.0,0.9134
P1,1137.3,0.0001,,1.0,0.9934
P1,1137.4,0.0013,,1.0,0.804
P1,1139.6,0.005,,1.0,0.7401
P1,1147.5,0.0024,,1.0,0.7759999999999999
P1,1147.6,0.0042,,1.0,0.7482
P1,1147.7,0.0049,,1.0,0.7405
P1,1147.8,0.0001,,1.0,1.0
P1,1147.9,0.0001,,1.0,1.0
P1,1148.0,0.0002,,1.0,0.8717
P1,1149.8,0.0045,,1.0,0.7448
P1,1149.9,0.0069,,1.0,0.7225
P1,1150.3,0.0034,,1.0,0.7594
P1,1150.4,0.0003,,1.0,0.8674
P1,1150.5,0.0064,,1.0,0.7266
P1,1151.9,0.0009,,1.0,0.8208
P1,1152.0,0.0003,,1.0,0.8671
P1,1152.1,0.0001,,1.0,0.8865
P1,1152.2,0.0001,,1.0,0.9792
P1,1152.3,0.0001,,1.0,0.9612
P1,1152.4,0.0002,,1.0,0.878
P1,1152.5,0.004,,1.0,0.7514
P1,1152.6,0.0001,,1.0,0.925
P1,1152.7,0.0001,,1.0,0.9227
