DEPTH,Shale,Dolomite,Limestone,Primary Porosity,Secondary Porosity,Facie C
4249.6056,0.021284,0.857671,0.061991,0.01217,0.046884,10
4249.758,0.007782,0.870716,0.0663,0.019489,0.035711,10
4249.9104,0.007011,0.851497,0.088354,0.017702,0.035436,10
4250.0628,0.002221,0.789869,0.158011,0.014018,0.035882,10
4250.2152,0.000686,0.713113,0.235507,0.012337,0.038358,10
4250.3676,0.000686,0.649745,0.297609,0.01232,0.03964,10
4250.52,0.000686,0.525709,0.421645,0.01232,0.03964,10
4250.6724,0.000686,0.525709,0.421645,0.01232,0.03964,10
4250.8248,0.000686,0.520036,0.427318,0.01232,0.03964,10
4250.9772,0.000603,0.530659,0.434446,0.011443,0.02285,10
4251.1296,0.000745,0.571076,0.39339,0.012152,0.022637,10
4251.282,0.000322,0.571106,0.393411,0.012516,0.022646,10
4251.4344,0.000118,0.584668,0.382206,0.011612,0.021397,10
4251.5868,0.000118,0.584668,0.382206,0.011612,0.021397,10
4251.7392,0.006777,0.502731,0.462313,0.02153,0.00665,10
4251.8916,0.006777,0.389787,0.575256,0.02153,0.00665,8
4252.044,0.006777,0.325746,0.639298,0.02153,0.00665,8
4252.1964,0.00553,0.285418,0.680837,0.021557,0.006658,8
4252.3488,0.005686,0.268541,0.70105,0.02194,0.002783,8
4252.5012,0.005686,0.174521,0.795071,0.02194,0.002783,8
4252.6536,0.005686,0.184501,0.783527,0.021904,0.004383,8
4252.806,0.00245,0.229394,0.735637,0.024419,0.0081,8
4252.9584,0.001519,0.338392,0.617804,0.02483,0.017455,8
4253.1108,0.001519,0.415576,0.539697,0.022967,0.02024,8
4253.2632,0.001519,0.551371,0.398419,0.023517,0.025174,10
4253.4156,0,0.702386,0.242423,0.02086,0.03433,10
4253.568,0.000016,0.718314,0.223212,0.0182,0.040257,10
4253.7204,0,0.753488,0.185511,0.019942,0.041058,10
4253.8728,0,0.787524,0.149181,0.018928,0.044367,10
4254.0252,0.00039,0.804701,0.130179,0.018536,0.046195,10
4254.1776,0,0.795337,0.139648,0.018025,0.04699,10
4254.33,0,0.770801,0.164184,0.018025,0.04699,10
4254.4824,0,0.680414,0.261928,0.023087,0.034571,10
4254.6348,0,0.672462,0.269397,0.023074,0.035067,10
4254.7872,0.001849,0.558376,0.388523,0.016615,0.034637,10
4254.9396,0.000002,0.485484,0.467272,0.017,0.030242,8
4255.092,0.000008,0.401734,0.564801,0.02504,0.008416,8
4255.2444,0.000008,0.380864,0.584148,0.025001,0.009979,8
4255.3968,0.000252,0.386823,0.579864,0.018738,0.014323,8
4255.5492,0.000252,0.386823,0.579864,0.018738,0.014323,8
4255.7016,0.014196,0.472365,0.479862,0.019454,0.014123,8
4255.854,0.017134,0.599523,0.335607,0.027173,0.020562,10
4256.0064,0.037959,0.694053,0.210411,0.042981,0.014597,10
4256.1588,0.072304,0.639291,0.230286,0.043855,0.014264,10
4256.3112,0.134579,0.390082,0.422912,0.034466,0.017961,8
4256.4636,0.183909,0.18967,0.569149,0.016285,0.040988,4
4256.616,0.188298,0.048185,0.696687,0.024119,0.042711,4
4256.7684,0.157578,0.006591,0.755549,0.040995,0.039286,4
4256.9208,0.116211,0.000065,0.793519,0.020793,0.069412,7
4257.0732,0.080262,0.004495,0.822886,0.004158,0.088199,7
4257.2256,0.05192,0.083822,0.770624,0.004295,0.089338,7
4257.378,0.030798,0.000965,0.89635,0.004702,0.067184,7
4257.5304,0.00286,0.065671,0.88105,0.006867,0.043552,8
