Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
P3,1053.7,0.0001,0,1,1
P3,1053.8,0.0001,0,1,1
P3,1053.9,0.0001,0,1,1
P3,1054,0.0001,0,1,1
P3,1054.1,0.0001,0,1,1
P3,1054.2,0.0001,0,1,1
P3,1054.3,0.0001,0,1,1
P3,1054.4,0.0001,0,1,1
P3,1054.5,0.0001,0,1,1
P3,1054.6,0.0001,0,1,1
P3,1054.7,0.0001,0,1,1
P3,1054.8,0.0001,0,1,1
P3,1054.9,0.0001,0,1,1
P3,1055,0.0001,0,1,1
P3,1055.1,0.0001,0,1,1
P3,1055.2,0.0001,0,1,1
P3,1055.3,0.0001,0,1,1
P3,1055.4,0.0001,0,1,1
P3,1055.5,0.0001,0,1,1
P3,1055.6,0.0001,0,1,1
P3,1055.7,0.0001,0,1,1
P3,1055.8,0.0001,0,1,1
P3,1055.9,0.0001,0,1,1
P3,1056,0.0001,0,1,1
P3,1056.1,0.0001,0,1,1
P3,1056.2,0.0001,0,1,1
P3,1056.3,0.0001,0,1,1
P3,1056.4,0.0001,0,1,0.9735
P3,1056.5,0.0001,0,1,0.9672
P3,1056.6,0.0004,0,1,0.8591
P3,1056.7,0.0047,0,1,0.7503
P3,1056.8,0.005,0,1,0.7465
P3,1056.9,0.0008,0,1,0.8278
P3,1057,0.0001,0,1,1
P3,1057.1,0.0001,0,1,1
P3,1057.2,0.0001,0,1,1
P3,1057.3,0.0001,0,1,1
P3,1057.4,0.0001,0,1,1
P3,1057.5,0.0001,0,1,1
P3,1057.6,0.0001,0,1,1
P3,1057.7,0.0001,0,1,1
P3,1057.8,0.0001,0,1,1
P3,1057.9,0.0001,0,1,1
P3,1058,0.0001,0,1,1
P3,1058.1,0.0001,0,1,1
P3,1058.2,0.0001,0,1,1
P3,1058.3,0.0001,0,1,1
P3,1058.4,0.0001,0,1,1
P3,1058.5,0.0001,0,1,1
P3,1058.6,0.0001,0,1,1
P3,1058.7,0.0001,0,1,1
P3,1058.8,0.0001,0,1,1
P3,1058.9,0.0001,0,1,0.9775
