Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
P1,1067.3,0.0001,0.06758595586252714,1.0,1.0
P1,1067.4,0.0001,0.06626081797550376,1.0,0.9983
P1,1067.5,0.0001,0.08062261858410236,1.0,0.8941
P1,1067.6,0.0089,2.1950088994272137,1.0,0.7085
P1,1067.8,0.0045,0.9564819592034006,1.0,0.7446
P1,1067.9,0.0001,0.06731246319873097,1.0,0.9177
P1,1068.0,0.0001,0.06758595586252714,1.0,1.0
P1,1068.1,0.0001,0.0550662130129308,1.0,0.9488
P1,1068.2,0.0001,0.06758595586252714,1.0,1.0
P1,1068.3,0.0001,0.07458869714049055,1.0,0.9045
P1,1068.4,0.0001,0.06632987329630968,1.0,0.9196
P1,1068.5,0.0001,0.058863330877126474,1.0,0.9863
P1,1068.6,0.0003,0.10303256841173114,1.0,0.8606
P1,1068.7,0.0001,0.060785441166042786,1.0,0.99
P1,1068.8,0.0012,0.16627903343024586,1.0,0.8077
P1,1070.4,0.0007,0.13107969266962688,1.0,0.8305
P1,1070.5,0.0001,0.06758595586252714,1.0,1.0
P1,1070.6,0.0001,0.06308950659043244,1.0,0.9938
P1,1070.7,0.0001,0.06577074678398243,1.0,0.9207
P1,1070.8,0.0028,0.35089767780941433,1.0,0.7682
P1,1071.2,0.0061,1.9065183273466246,1.0,0.7291
P1,1071.3,0.0001,0.07158992209465298,1.0,0.9098
P1,1071.4,0.0001,0.0535648692336248,1.0,0.966
P1,1071.5,0.0001,0.06758595586252714,1.0,1.0
P1,1071.6,0.0001,0.06758595586252714,1.0,1.0
P1,1071.7,0.0001,0.05900755347041753,1.0,0.9866
P1,1071.8,0.0032,0.44087786847478583,1.0,0.7614
P1,1072.3,0.0068,2.2312327859096968,1.0,0.7239
P1,1072.4,0.0001,0.07231783615345644,1.0,0.9085
P1,1072.5,0.0001,0.05955382571020729,1.0,0.9877
P1,1072.6,0.0001,0.05778880686454657,1.0,0.9392
P1,1072.7,0.0006,0.12353738687689375,1.0,0.8383
P1,1074.0,0.0001,0.053770010799807144,1.0,0.9685
P1,1074.1,0.0001,0.05347133393569403,1.0,0.9623
P1,1074.2,0.0001,0.0818481197200297,1.0,0.892
P1,1074.3,0.0031,0.4138881424653842,1.0,0.7638
P1,1074.4,0.0095,1.9528780971762654,1.0,0.7049
P1,1074.6,0.0046,1.0092065695969956,1.0,0.7438
P1,1074.7,0.0004,0.112571301616189,1.0,0.847
P1,1074.8,0.0001,0.05548847169401405,1.0,0.9774
P1,1074.9,0.0001,0.06758595586252714,1.0,1.0
P1,1075.0,0.0001,0.06758595586252714,1.0,1.0
P1,1075.1,0.0001,0.06758595586252714,1.0,1.0
P1,1075.2,0.0001,0.06758595586252714,1.0,1.0
P1,1075.3,0.0001,0.07424545334757793,1.0,0.9051
P1,1075.4,0.0011,0.16002029131934936,1.0,0.8086
P1,1075.5,0.0007,0.1320344968898276,1.0,0.8282
P1,1075.8,0.0002,0.0948024649626188,1.0,0.8719
P1,1075.9,0.0001,0.05371427831535036,1.0,0.9574
P1,1076.0,0.0001,0.06758595586252714,1.0,1.0
P1,1076.1,0.0001,0.06153564400892064,1.0,0.9913
P1,1076.2,0.0001,0.06879599918920731,1.0,0.9149
P1,1076.3,0.0017,0.2080686533934366,1.0,0.7902
P1,1076.4,0.004,0.7150379017313433,1.0,0.7504
P1,1076.8,0.0003,0.09988329296323839,1.0,0.8664
P1,1076.9,0.0001,0.06758595586252714,1.0,1.0
P1,1077.0,0.0001,0.06758595586252714,1.0,1.0
P1,1077.1,0.0001,0.06758595586252714,1.0,1.0
P1,1077.2,0.0001,0.06758595586252714,1.0,1.0
P1,1077.3,0.0001,0.05806626642131496,1.0,0.9384
P1,1077.4,0.0001,0.0542749487522689,1.0,0.9721
P1,1077.5,0.0001,0.06758595586252714,1.0,1.0
P1,1077.6,0.0001,0.06758595586252714,1.0,1.0
P1,1077.7,0.0001,0.06758595586252714,1.0,1.0
P1,1077.8,0.0001,0.06758595586252714,1.0,1.0
P1,1077.9,0.0001,0.056503882094006475,1.0,0.9806
P1,1078.0,0.0002,0.09063479849489087,1.0,0.8792
P1,1078.1,0.0001,0.05792663784194774,1.0,0.9388
P1,1078.2,0.0001,0.05449981291602757,1.0,0.9733
P1,1078.3,0.0002,0.09651781745438315,1.0,0.8688
P1,1078.7,0.0011,0.15873535473871203,1.0,0.812
P1,1078.8,0.0001,0.06758595586252714,1.0,1.0
P1,1078.9,0.0001,0.06758595586252714,1.0,1.0
P1,1079.0,0.0001,0.06758595586252714,1.0,1.0
P1,1079.1,0.0001,0.06758595586252714,1.0,1.0
P1,1079.2,0.0001,0.06758595586252714,1.0,1.0
P1,1079.3,0.0009,0.14546023836712124,1.0,0.8183
P1,1079.4,0.0003,0.10266074087204713,1.0,0.8613
P1,1079.5,0.0001,0.06423057044025993,1.0,0.9955
P1,1079.6,0.0001,0.06758595586252714,1.0,1.0
P1,1079.7,0.0001,0.06758595586252714,1.0,1.0
P1,1079.8,0.0001,0.06758595586252714,1.0,1.0
P1,1079.9,0.0001,0.06758595586252714,1.0,1.0
P1,1080.0,0.0001,0.06758595586252714,1.0,1.0
P1,1080.1,0.0001,0.06758595586252714,1.0,1.0
P1,1080.2,0.0001,0.06758595586252714,1.0,1.0
P1,1080.3,0.0001,0.06758595586252714,1.0,1.0
P1,1080.4,0.0001,0.06758595586252714,1.0,1.0
P1,1080.5,0.0001,0.06758595586252714,1.0,1.0
P1,1080.6,0.0001,0.06758595586252714,1.0,1.0
P1,1080.7,0.0001,0.06758595586252714,1.0,1.0
P1,1080.8,0.0001,0.06758595586252714,1.0,1.0
P1,1080.9,0.0001,0.06758595586252714,1.0,1.0
P1,1081.0,0.0001,0.06758595586252714,1.0,1.0
P1,1081.1,0.0001,0.06758595586252714,1.0,1.0
P1,1081.2,0.0001,0.06758595586252714,1.0,1.0
P1,1081.3,0.0001,0.06758595586252714,1.0,1.0
P1,1081.4,0.0001,0.06758595586252714,1.0,1.0
P1,1081.5,0.0001,0.06758595586252714,1.0,1.0
P1,1081.6,0.0001,0.06758595586252714,1.0,1.0
P1,1081.7,0.0001,0.06758595586252714,1.0,1.0
P1,1081.8,0.0001,0.06758595586252714,1.0,1.0
P1,1081.9,0.0001,0.06758595586252714,1.0,1.0
P1,1082.0,0.0001,0.06758595586252714,1.0,1.0
P1,1082.1,0.0001,0.06758595586252714,1.0,1.0
P1,1082.2,0.0001,0.06758595586252714,1.0,1.0
P1,1082.3,0.0001,0.06758595586252714,1.0,1.0
P1,1082.4,0.0001,0.06758595586252714,1.0,1.0
P1,1082.5,0.0001,0.06758595586252714,1.0,1.0
P1,1082.6,0.0001,0.06758595586252714,1.0,1.0
P1,1082.7,0.0001,0.06758595586252714,1.0,1.0
P1,1082.8,0.0001,0.06758595586252714,1.0,1.0
P1,1082.9,0.0001,0.06758595586252714,1.0,1.0
P1,1083.0,0.0001,0.06758595586252714,1.0,1.0
P1,1083.1,0.0001,0.06758595586252714,1.0,1.0
P1,1083.2,0.0001,0.06758595586252714,1.0,1.0
P1,1083.3,0.0001,0.06758595586252714,1.0,1.0
P1,1083.4,0.0001,0.06758595586252714,1.0,1.0
P1,1083.5,0.0001,0.06758595586252714,1.0,1.0
P1,1083.6,0.0001,0.06758595586252714,1.0,1.0
P1,1083.7,0.0001,0.06758595586252714,1.0,1.0
P1,1083.8,0.0001,0.06758595586252714,1.0,1.0
P1,1083.9,0.0001,0.06758595586252714,1.0,1.0
P1,1084.0,0.0001,0.06758595586252714,1.0,1.0
P1,1084.1,0.0001,0.06758595586252714,1.0,1.0
P1,1084.2,0.0001,0.06758595586252714,1.0,1.0
P1,1084.3,0.0001,0.06758595586252714,1.0,1.0
P1,1084.4,0.0001,0.06758595586252714,1.0,1.0
P1,1084.5,0.0001,0.06758595586252714,1.0,1.0
P1,1084.6,0.0001,0.06758595586252714,1.0,1.0
P1,1084.7,0.0001,0.06758595586252714,1.0,1.0
P1,1084.8,0.0001,0.06758595586252714,1.0,1.0
P1,1084.9,0.0001,0.06758595586252714,1.0,1.0
P1,1085.0,0.0001,0.05709399139296911,1.0,0.9822
P1,1085.6,0.0004,0.112571301616189,1.0,0.847
P1,1085.7,0.0001,0.06699995147560533,1.0,0.9183
P1,1085.8,0.0004,0.11156158316930631,1.0,0.8491
P1,1086.8,0.0097,1.8632845622904495,1.0,0.7040000000000001
P1,1086.9,0.006,1.8480411017906353,1.0,0.7306
P1,1087.0,0.0089,2.1953470645055178,1.0,0.7086
P1,1088.0,0.0071,2.3247331153985487,1.0,0.7215
P1,1088.1,0.0003,0.09932511537460098,1.0,0.8674
P1,1088.2,0.0001,0.058605579927170526,1.0,0.9369
P1,1088.3,0.0001,0.0807977402540595,1.0,0.8938
P1,1088.4,0.0008,0.13785611706002232,1.0,0.8251
P1,1088.5,0.0011,0.15976010732662016,1.0,0.8093
P1,1088.6,0.0001,0.06138222057954801,1.0,0.93
P1,1088.7,0.0001,0.06758595586252714,1.0,1.0
P1,1088.8,0.0001,0.06758595586252714,1.0,1.0
P1,1088.9,0.0011,0.15961044871502755,1.0,0.8097
P1,1090.1,0.0008,0.13942931157535032,1.0,0.8211
P1,1090.2,0.0002,0.08952504172310638,1.0,0.8811
P1,1090.3,0.0004,0.10880286924008642,1.0,0.8546
P1,1090.4,0.0003,0.10324399361508563,1.0,0.8602
P1,1090.5,0.0087,2.261649198986201,1.0,0.7101
P1,1092.6,0.0002,0.0961336197128505,1.0,0.8695
P1,1092.7,0.0001,0.054873315442602544,1.0,0.9497
